location_id,country,state,city,station
100,India,,,
101,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB"
102,India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB"
103,India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB"
104,India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB"
105,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
106,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB"
107,India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB"
108,India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB"
109,India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB"
110,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
111,India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB"
112,India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA"
113,India,Assam,Guwahati,"IITG, Guwahati - PCBA"
114,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA"
115,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA"
116,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA"
117,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA"
118,India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA"
119,India,Assam,Silchar,"Tarapur, Silchar - PCBA"
120,India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA"
121,India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB"
122,India,Bihar,Arrah,"New DM Office, Arrah - BSPCB"
123,India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB"
124,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB"
125,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB"
126,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB"
127,India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB"
128,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB"
129,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB"
130,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB"
131,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB"
132,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB"
133,India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB"
